#{"t_start": 1785492356.0697904, "env_id": "DriverFatigue-v0"}
r,l,t
173.986077,50,0.120426
217.748866,50,0.228161
246.566417,50,0.342039
204.563324,50,0.450258
35.420727,50,0.570229
207.47097,50,0.677066
177.754635,50,0.79535
165.456498,50,0.904307
227.602167,50,1.01147
27.1864,50,1.128904
95.145237,50,1.236298
117.306115,50,1.354553
152.512617,50,1.464854
180.768084,50,1.581185
148.106106,50,1.692395
261.605791,50,1.8071
-34.905555,50,1.918565
121.88414,50,2.031007
226.009004,50,2.146436
177.758575,50,2.257626
24.726181,50,2.372108
255.757236,50,2.481208
159.338405,50,2.600674
-24.028331,50,2.71484
243.481803,50,2.822255
120.890574,50,2.940563
175.649352,50,3.048313
-55.124903,50,3.163087
141.346343,50,3.270231
104.671665,50,3.380908
228.008962,50,3.495073
247.466803,50,3.597435
230.131148,50,3.716238
244.991845,50,3.82479
281.559555,50,3.940762
246.56835,50,4.049901
245.475465,50,4.160155
81.475937,50,4.263299
266.404004,50,4.37714
-67.950208,50,4.493356
212.893793,50,4.602848
89.22426,50,4.729236
272.736254,50,4.840695
228.069451,50,4.961615
268.383189,50,5.067559
159.635344,50,5.188346
261.112444,50,5.301484
272.472732,50,5.415898
277.257926,50,5.527806
59.515068,50,5.641038
193.770423,50,5.755834
218.984466,50,5.861236
253.086368,50,5.9774
235.699747,50,6.083106
147.050972,50,6.197497
237.949993,50,6.298642
248.65638,50,6.416605
146.644438,50,6.532298
246.639894,50,6.645204
260.264625,50,6.756316
240.584005,50,6.866118
217.937667,50,6.985932
228.404812,50,7.094519
135.142228,50,7.215616
267.633787,50,7.325763
153.802154,50,7.446375
279.146352,50,7.5574
265.926255,50,7.672622
248.646937,50,7.786288
178.617465,50,7.899168
139.705144,50,8.019692
122.654732,50,8.124943
282.28943,50,8.244955
138.221391,50,8.354573
293.902367,50,8.475173
-35.891321,50,8.585351
197.122664,50,8.706658
264.658828,50,8.818217
244.621118,50,8.945708
262.083997,50,9.05824
106.088997,50,9.17484
248.788213,50,9.292646
251.381113,50,9.404094
204.594865,50,9.520602
212.794834,50,9.631193
258.445877,50,9.749447
344.550403,50,9.862349
196.650929,50,9.976319
283.309185,50,10.088105
315.288109,50,10.201194
110.490766,50,10.317133
176.799262,50,10.418113
183.117099,50,10.536752
243.615966,50,10.645971
279.496247,50,10.755366
250.389984,50,10.870528
260.078171,50,10.982211
171.806983,50,11.097225
249.488823,50,11.209335
294.376781,50,11.328312
264.163227,50,11.442939
247.477098,50,11.554988
178.078689,50,11.671274
229.627091,50,11.783556
202.008626,50,11.896479
230.338327,50,12.008307
218.194947,50,12.122654
262.823781,50,12.240839
195.032528,50,12.351846
282.959925,50,12.463067
222.741616,50,12.573216
217.039419,50,12.753229
230.872637,50,12.861845
244.268109,50,12.980904
230.546481,50,13.085485
266.462937,50,13.196564
290.771824,50,13.31317
32.007868,50,13.423115
241.02262,50,13.543664
238.373839,50,13.655317
153.795728,50,13.778919
253.648137,50,13.88569
238.106266,50,14.001621
232.422702,50,14.11748
238.223349,50,14.230288
107.758074,50,14.347059
61.193195,50,14.458275
256.22136,50,14.579793
104.061304,50,14.690889
-70.902949,50,14.808213
209.511307,50,14.920462
241.940391,50,15.024355
239.73893,50,15.135686
122.748215,50,15.24986
249.39035,50,15.369068
178.89811,50,15.480972
264.530952,50,15.598528
189.154502,50,15.712135
252.599206,50,15.822888
66.053893,50,15.938403
184.326791,50,16.053363
269.537148,50,16.175781
120.761034,50,16.290239
234.62194,50,16.409508
126.698324,50,16.524945
132.399806,50,16.63945
226.240806,50,16.761919
-10.520871,50,16.876986
181.178222,50,16.994674
120.814885,50,17.107093
224.984465,50,17.218277
224.513976,50,17.331387
176.896091,50,17.443012
185.139513,50,17.561659
251.119531,50,17.674671
278.228532,50,17.798418
29.755735,50,17.905433
235.603459,50,18.014266
104.850753,50,18.128074
238.508257,50,18.236302
260.127979,50,18.355514
258.286707,50,18.466538
247.19072,50,18.584369
178.304667,50,18.69966
218.861479,50,18.81032
209.272064,50,18.92824
200.420125,50,19.040077
214.092916,50,19.164356
254.174648,50,19.275557
212.940079,50,19.385846
292.215458,50,19.502128
208.858272,50,19.612776
222.569483,50,19.731152
238.236453,50,19.841056
215.640901,50,19.960821
260.408945,50,20.071425
109.708244,50,20.193253
185.131479,50,20.305803
237.79079,50,20.425722
279.801108,50,20.539966
273.762603,50,20.656253
213.73328,50,20.774039
266.405093,50,20.884955
173.771309,50,21.008611
159.735206,50,21.118109
280.324369,50,21.240735
266.719797,50,21.352492
246.02978,50,21.473613
279.456433,50,21.579266
281.473145,50,21.694103
252.878936,50,21.808666
266.520576,50,21.926628
162.059084,50,22.041495
