#{"t_start": 1785486890.4051251, "env_id": "DriverFatigue-v0"}
r,l,t
110.095719,50,1.839961
170.38019,50,1.843469
129.77137,50,1.96814
176.743564,50,2.002119
172.780433,50,2.038074
213.845265,50,2.073201
171.091967,50,2.114223
167.997278,50,2.149895
185.71184,50,2.185109
182.208652,50,2.205124
168.996584,50,2.221128
173.423572,50,2.250122
136.929872,50,2.301194
147.501623,50,2.340147
135.5048,50,2.376279
162.884157,50,2.403945
213.939012,50,2.444971
180.352293,50,2.48657
130.768775,50,2.520459
242.222344,50,2.566904
242.226616,50,2.587157
213.573101,50,2.61485
185.774984,50,2.66233
171.146414,50,2.70189
184.361162,50,2.749702
220.961413,50,2.788293
207.012466,50,2.818803
189.020706,50,2.844646
190.271073,50,2.887646
239.505138,50,2.92719
245.260309,50,2.972457
175.047993,50,2.98305
256.658803,50,3.030209
213.922754,50,3.066774
185.13151,50,3.116919
243.730801,50,3.16266
210.018312,50,3.191353
241.727699,50,3.21607
244.926892,50,3.241383
248.72298,50,3.276479
242.647228,50,3.330064
223.507567,50,3.366332
221.482817,50,3.403095
250.02791,50,3.442907
257.510329,50,3.488868
256.157341,50,3.531343
160.4517,50,3.569659
282.833174,50,3.595674
240.596409,50,3.639532
162.543338,50,3.676579
273.513184,50,3.72425
209.636299,50,3.763457
234.707027,50,3.791747
251.881662,50,3.837135
260.349773,50,3.88812
57.891316,50,3.93572
291.6234,50,3.967146
229.231298,50,3.986462
236.147122,50,4.019123
157.423022,50,4.06076
153.176369,50,4.11258
255.78624,50,4.15263
196.583806,50,4.183353
208.67357,50,4.227577
278.441281,50,4.281842
317.625144,50,4.32814
265.263106,50,4.373006
83.869416,50,4.402618
268.687157,50,4.458719
191.500331,50,4.506044
87.256998,50,4.535573
-216.028373,50,4.582978
209.828822,50,4.63291
208.043834,50,4.676116
191.723237,50,4.766832
135.905228,50,4.794429
190.984251,50,4.846429
42.650849,50,4.890752
53.463693,50,4.91789
201.005054,50,4.948059
72.56694,50,4.998941
86.384953,50,5.047077
80.229787,50,5.096566
52.220376,50,5.132972
146.546745,50,5.183264
198.816288,50,5.233543
-111.798798,50,5.275423
-50.910296,50,5.308754
34.020608,50,5.35566
-148.981145,50,5.402763
-244.528239,50,5.444971
-106.880325,50,5.489692
150.042869,50,5.533157
51.743462,50,5.55985
8.750785,50,5.60034
93.860734,50,5.649267
124.836862,50,5.690798
148.380707,50,5.73937
201.880838,50,5.806234
216.212834,50,5.885387
125.202686,50,5.963329
133.240747,50,6.018508
95.51864,50,6.095836
62.200009,50,6.163569
95.423418,50,6.246639
128.117566,50,6.327575
195.569246,50,6.365387
151.487071,50,6.443225
195.423066,50,6.535302
146.973275,50,6.604713
