Algorithm,Run,Learning Rate,Gamma,N-Steps/Batch,Mean Reward
REINFORCE,1,0.001,0.99,Hidden: 64,-413.38
REINFORCE,2,0.0005,0.99,Hidden: 64,-429.18
REINFORCE,3,0.001,0.95,Hidden: 128,-425.02
REINFORCE,4,0.0005,0.95,Hidden: 128,-104.89
REINFORCE,5,0.0001,0.99,Hidden: 64,-90.95
REINFORCE,6,0.001,0.9,Hidden: 64,-115.15
REINFORCE,7,0.0005,0.9,Hidden: 128,-123.65
REINFORCE,8,0.0001,0.95,Hidden: 64,-469.25
REINFORCE,9,0.002,0.99,Hidden: 32,-117.57
REINFORCE,10,0.0005,0.99,Hidden: 32,-410.44
PPO,1,0.0003,0.99,"Steps: 128, Batch: 32",-270.63
PPO,2,0.001,0.99,"Steps: 256, Batch: 64",-355.99
PPO,3,0.0001,0.95,"Steps: 128, Batch: 32",-419.56
PPO,4,0.0005,0.99,"Steps: 512, Batch: 128",-459.74
PPO,5,0.0003,0.9,"Steps: 128, Batch: 32",-203.97
PPO,6,0.001,0.95,"Steps: 256, Batch: 64",118.47
PPO,7,0.0005,0.99,"Steps: 128, Batch: 64",-430.99
PPO,8,0.0001,0.99,"Steps: 256, Batch: 32",-461.69
PPO,9,0.0003,0.95,"Steps: 512, Batch: 64",277.07
PPO,10,0.0005,0.9,"Steps: 256, Batch: 128",273.67
A2C,1,0.0007,0.99,Steps: 5,-444.06
A2C,2,0.001,0.99,Steps: 10,-438.83
A2C,3,0.0003,0.95,Steps: 5,-427.58
A2C,4,0.0005,0.99,Steps: 20,-412.05
A2C,5,0.0007,0.9,Steps: 5,-397.32
A2C,6,0.001,0.95,Steps: 10,114.76
A2C,7,0.0003,0.99,Steps: 20,-458.01
A2C,8,0.0005,0.95,Steps: 5,-439.66
A2C,9,0.0007,0.99,Steps: 10,-435.14
A2C,10,0.0001,0.99,Steps: 5,-451.32
