#{"t_start": 1785489484.2241094, "env_id": "DriverFatigue-v0"}
r,l,t
95.039002,50,0.104093
192.16338,50,0.198308
156.385567,50,0.288278
132.910269,50,0.37061
165.04559,50,0.471121
201.671218,50,1.42244
202.110543,50,1.545875
205.369142,50,1.639448
123.616274,50,1.7793
210.211756,50,1.901251
250.336288,50,2.762794
247.798139,50,2.889761
221.936631,50,3.005842
255.486982,50,3.123261
120.887331,50,3.237308
189.232725,50,4.085264
202.187789,50,4.178037
246.611077,50,4.280427
261.525672,50,4.383156
225.640433,50,4.490505
238.043337,50,5.155921
237.771631,50,5.300017
179.423007,50,5.408359
176.501981,50,5.479995
255.281864,50,5.585593
214.417282,50,6.408227
252.642931,50,6.543096
-0.999716,50,6.762132
185.584072,50,6.90038
190.774167,50,7.010407
228.336328,50,7.465153
173.052104,50,7.548277
224.686756,50,7.627542
247.999249,50,7.702968
217.169212,50,7.779398
246.064808,50,8.174527
242.988635,50,8.245337
172.584251,50,8.322359
271.411163,50,8.391349
232.058389,50,8.450049
256.467054,50,8.832505
201.856383,50,8.904912
257.688287,50,8.991961
210.80214,50,9.092436
275.05824,50,9.185783
163.154327,50,9.253199
255.661833,50,9.93558
265.838561,50,10.038782
306.380382,50,10.110608
176.196607,50,10.192504
210.502995,50,10.275599
211.705442,50,10.762803
234.851567,50,10.875027
235.699747,50,10.957518
154.048635,50,11.037114
239.641725,50,11.124791
245.119013,50,11.657541
158.150385,50,11.746344
251.639894,50,11.86129
273.858383,50,11.965504
236.823436,50,12.047605
210.514239,50,12.661757
244.739319,50,12.772637
286.742419,50,12.857254
238.231516,50,12.939236
270.663939,50,13.028307
249.430571,50,13.484032
256.498777,50,13.592472
83.15837,50,13.682121
254.102302,50,13.765608
168.340405,50,13.83593
184.388671,50,14.430412
265.543035,50,14.55591
165.409554,50,14.654017
300.496713,50,14.742412
-56.992208,50,14.829489
112.813121,50,15.58465
284.417281,50,15.697113
273.938779,50,15.803057
248.47684,50,15.881541
154.279109,50,15.960714
201.493079,50,16.551198
261.344297,50,16.675472
271.646495,50,16.777263
219.540662,50,16.852715
237.775836,50,16.95637
298.056116,50,17.028255
205.282483,50,17.525393
263.391728,50,17.622996
303.996884,50,17.691103
200.618269,50,17.771413
176.138874,50,17.850546
174.141063,50,18.351032
242.611029,50,18.448406
260.441137,50,18.516472
224.197883,50,18.607186
261.627558,50,18.682113
194.317979,50,19.12389
252.180275,50,19.227859
276.163727,50,19.303995
226.976498,50,19.397537
198.135887,50,19.488213
228.427976,50,19.930555
166.08752,50,20.015554
254.01661,50,20.097217
222.083767,50,20.162055
236.864791,50,20.248161
187.550241,50,20.741925
278.742472,50,20.835023
245.03552,50,20.919479
188.028456,50,20.999173
223.452527,50,21.072405
228.991843,50,21.518442
229.792741,50,21.602808
258.770498,50,21.683964
263.089693,50,21.760293
276.413512,50,21.849645
102.607497,50,22.327307
206.94691,50,22.423156
236.76689,50,22.532997
221.209561,50,22.652228
237.295083,50,22.761117
302.188045,50,23.396023
236.944527,50,23.485252
248.44153,50,23.592217
100.471621,50,23.664557
143.282294,50,23.742445
246.056065,50,23.847444
259.992115,50,24.307169
270.246492,50,24.400732
245.249883,50,24.474473
241.43237,50,24.542444
204.634573,50,24.616361
67.928601,50,25.087353
220.688493,50,25.172797
239.175441,50,25.269438
264.256268,50,25.359423
207.341243,50,25.450052
275.306616,50,25.922995
180.576667,50,26.001371
210.16064,50,26.074835
181.749323,50,26.147242
235.366642,50,26.219429
208.588261,50,26.691656
179.690732,50,26.79764
197.01925,50,26.87138
235.124043,50,26.959575
232.934591,50,27.032333
238.353689,50,27.503098
43.241785,50,27.59043
209.960354,50,27.677469
240.46633,50,27.780316
209.001952,50,27.906478
227.653303,50,28.339086
243.751797,50,28.422069
293.971187,50,28.505205
245.682252,50,28.59035
256.165503,50,28.657076
210.129699,50,29.132665
226.306637,50,29.220851
261.612722,50,29.307519
226.679994,50,29.387469
231.945879,50,29.467031
219.772775,50,29.925865
